"","score","gene_symbol","uniprot"
"1",0.272342079677348,"NFYC","Q13952"
"2",0.270487837102208,"GSPT1","P15170"
"3",0.266815336724705,"GCKR","Q14397"
"4",0.264415858788808,"MLXIPL","Q9NP71"
"5",0.262585669190586,"BNIP3","Q12983"
"6",0.257802875794779,"CAPN3","P20807"
"7",0.257802875794779,"ZBTB17","Q13105"
"8",0.257802875794779,"BMI1","P35226"
"9",0.257276366977599,"MIR17HG","Q75NE6"
"10",0.256785245674627,"KNG1","P01042"
"11",0.256645336640102,"PROKR1","Q8TCW9"
"12",0.256645336640102,"PIP4K2A","P48426"
"13",0.256173129355902,"NEK3","P51956"
"14",0.256173129355902,"LIPE","Q05469"
"15",0.255486435724994,"BIK","Q13323"
"16",0.254126498751643,"PLK2","Q9NYY3"
"17",0.254126498751643,"MLH1","P40692"
"18",0.254126498751643,"PMS2","P54278"
"19",0.254126498751643,"SIVA1","O15304"
"20",0.254126498751643,"VRK2","Q86Y07"
"21",0.254126498751643,"TNFRSF10C","O14798"
"22",0.254126498751643,"TNFRSF10D","Q9UBN6"
"23",0.254126498751643,"PLK4","O00444"
"24",0.254126498751643,"S100A4","P26447"
"25",0.254126498751643,"RGCC","Q9H4X1"
"26",0.254126498751643,"EI24","O14681"
"27",0.254126498751643,"STEAP3","Q658P3"
"28",0.254126498751643,"BHLHE40","O14503"
"29",0.254126498751643,"SERPINB5","P36952"
"30",0.254126498751643,"PRDX3","P30048"
"31",0.254126498751643,"NFYB","P25208"
"32",0.253257992953961,"DDX17","Q92841"
"33",0.253257992953961,"MN1","Q10571"
"34",0.253257992953961,"FOXH1","O75593"
"35",0.250749382373721,"CCL7","P80098"
"36",0.246723977747415,"CHGA","P10645"
"37",0.245933582398968,"MFNG","O00587"
"38",0.244026444464356,"DTX1","Q86Y01"
"39",0.243844424875954,"CDK3","Q00526"
"40",0.243626367434083,"CCL27","Q9Y4X3"
"41",0.228937052852737,"CLP1","Q92989"
"42",0.216513885132309,"PYCARD","Q9ULZ3"
"43",0.212416239589483,"GZMB","P10144"
"44",0.21147839175008,"PPM1D","O15297"
"45",0.205004705992883,"CPSF7","Q8N684"
"46",0.199993859253507,"NFYA","P23511"
"47",0.192074235029699,"PCF11","O94913"
"48",0.178518566119206,"CTBP2","P56545"
"49",0.177736419000496,"KLF4","O43474"
"50",0.175273127613277,"S100A6","P06703"
"51",0.175081926634084,"CTSD","P07339"
"52",0.172425229604382,"BNIP3L","O60238"
"53",0.172302981278874,"TDG","Q13569"
"54",0.167740034011871,"LFNG","Q8NES3"
"55",0.167502610717838,"GADD45G","O95257"
"56",0.162815809817454,"COP1","Q8NHY2"
"57",0.162562228942957,"RECQL4","O94761"
"58",0.160439973101258,"DFFA","O00273"
"59",0.160439973101258,"DFFB","O76075"
"60",0.160439973101258,"CAD","P27708"
"61",0.156597437006562,"TP53INP1","Q96A56"
"62",0.15536741063395,"TBP","P20226"
"63",0.15505057666848,"NLRP1","Q9C000"
"64",0.149992524210446,"BOK","Q9UMX3"
"65",0.14891111487342,"BIRC6","Q9NR09"
"66",0.148775173127714,"ODC1","P11926"
"67",0.147708645818341,"ARHGAP24","Q8N264"
"68",0.147293956968349,"EIF3J","O75822"
"69",0.1463266078621,"E2F6","O75461"
"70",0.145581951659785,"JAG1","P78504"
"71",0.145190798857193,"GADD45B","O75293"
"72",0.142844109285007,"LGALS1","P09382"
"73",0.142333277522005,"SRPK1","Q96SB4"
"74",0.142333277522005,"SLC18A2","Q05940"
"75",0.142137909291472,"H2AFZ","P0C0S5"
"76",0.140088240214214,"ETV4","P43268"
"77",0.139311044806444,"MAD2L1","Q13257"
"78",0.138715709312214,"KPNA2","P52292"
"79",0.138652990057471,"SFRP1","Q8N474"
"80",0.138279970989131,"DNMT3A","Q9Y6K1"
"81",0.137361245674627,"F12","P00748"
"82",0.136266643933376,"DLAT","P10515"
"83",0.135032366324079,"RUNX3","Q13761"
"84",0.133802458308291,"CTCF","P49711"
"85",0.132619174293802,"DDAH2","O95865"
"86",0.132399876886537,"SLC39A7","Q92504"
"87",0.131010145287347,"ARID3A","Q99856"
"88",0.130879911744631,"BBC3","Q96PG8"
"89",0.130705181828141,"ULK2","Q8IYT8"
"90",0.130327698597179,"CDX1","P47902"
"91",0.128559784067614,"HAX1","O00165"
"92",0.128412296088146,"MAML1","Q92585"
"93",0.126807916057815,"HDGF","P51858"
"94",0.12644604466139,"E2F2","Q14209"
"95",0.126336234210541,"PMAIP1","Q13794"
"96",0.124945231389444,"NOD1","Q9Y239"
"97",0.124722769238411,"CDKN2B","P42772"
"98",0.12448147256692,"FEN1","P39748"
"99",0.124052907135254,"CDC20","Q12834"
"100",0.120674883290657,"DEK","P35659"
"101",0.11997419025125,"APEX1","P27695"
"102",0.117775488843269,"RRM2","P31350"
"103",0.117593670449033,"S100B","P04271"
