"","score","gene_symbol","uniprot"
"1",0.271998863491592,"VDAC2","P45880"
"2",0.269487276547469,"RUBCN","Q92622"
"3",0.268210405985959,"MINK1","Q8N4C8"
"4",0.259612437845103,"BNIP3","Q12983"
"5",0.25599885284122,"CITED1","Q99966"
"6",0.254893624027257,"NFYC","Q13952"
"7",0.252351740726371,"ZBTB7A","O95365"
"8",0.252244489125366,"BIK","Q13323"
"9",0.251602236708061,"MIR17HG","Q75NE6"
"10",0.250915106208185,"ZBTB17","Q13105"
"11",0.250915106208185,"BMI1","P35226"
"12",0.250915106208185,"CAPN3","P20807"
"13",0.250671837210589,"TNFRSF10C","O14798"
"14",0.250671837210589,"PLK2","Q9NYY3"
"15",0.250671837210589,"MLH1","P40692"
"16",0.250671837210589,"PMS2","P54278"
"17",0.250671837210589,"VRK2","Q86Y07"
"18",0.250671837210589,"PLK4","O00444"
"19",0.250671837210589,"S100A4","P26447"
"20",0.250671837210589,"EI24","O14681"
"21",0.250671837210589,"STEAP3","Q658P3"
"22",0.250671837210589,"SERPINB5","P36952"
"23",0.250671837210589,"PRDX3","P30048"
"24",0.250671837210589,"NFYB","P25208"
"25",0.249082011560423,"ATP2A2","P16615"
"26",0.249082011560423,"MMP12","P39900"
"27",0.246788917972654,"OXSR1","O95747"
"28",0.246788917972654,"ARHGAP20","Q9P2F6"
"29",0.246788917972654,"NET1","Q7Z628"
"30",0.246788917972654,"ABI2","Q9NYB9"
"31",0.245571611136738,"TNFRSF8","P28908"
"32",0.245571611136738,"MFNG","O00587"
"33",0.243556276696666,"HBA1","P69905"
"34",0.243556276696666,"HBB","P68871"
"35",0.19898195993455,"INPP5A","Q14642"
"36",0.190433809154024,"CTCF","P49711"
"37",0.188364866409015,"GADD45G","O95257"
"38",0.174056787355616,"TNFRSF10D","Q9UBN6"
"39",0.172863588323942,"KLF4","O43474"
"40",0.172053982122607,"PYCARD","Q9ULZ3"
"41",0.171540323725549,"CTSD","P07339"
"42",0.17133940395234,"BNIP3L","O60238"
"43",0.170864423407951,"S100A6","P06703"
"44",0.169622366139615,"SIVA1","O15304"
"45",0.168402971873972,"UBA1","P22314"
"46",0.167435688806641,"LFNG","Q8NES3"
"47",0.157800836533418,"COP1","Q8NHY2"
"48",0.153359851590941,"PIK3R4","Q99570"
"49",0.151736722304772,"NLRP1","Q9C000"
"50",0.147236020482894,"ARHGAP24","Q8N264"
"51",0.143200529757491,"INPP5J","Q15735"
"52",0.139360999409718,"TAF1","P21675"
"53",0.139247558328215,"BOK","Q9UMX3"
"54",0.13852630028132,"STK16","O75716"
"55",0.137796666551219,"RGCC","Q9H4X1"
"56",0.137320848670581,"PPM1D","O15297"
"57",0.137149850436993,"LGALS1","P09382"
"58",0.134981989010484,"NFYA","P23511"
"59",0.134249575551618,"GADD45B","O75293"
"60",0.133569140010224,"IGFBP2","P18065"
"61",0.132882452421756,"KCNIP3","Q9Y2W7"
"62",0.132188607621789,"ULK2","Q8IYT8"
"63",0.130974374838431,"HSPD1","P10809"
"64",0.130498597212358,"SFRP1","Q8N474"
"65",0.13046955026062,"ARID3A","Q99856"
"66",0.129418550868769,"SYN1","P17600"
"67",0.129243219500767,"VCAN","P13611"
"68",0.128811465202174,"DNMT3A","Q9Y6K1"
"69",0.128470902140712,"MMP3","P08254"
"70",0.128151783776027,"ELF3","P78545"
"71",0.128043662888953,"SLC2A4","P14672"
"72",0.127923760337248,"NKX2-5","P52952"
"73",0.126898193887814,"POLR2A","P24928"
"74",0.126265358398026,"LPAR2","Q9HBW0"
"75",0.119266266885213,"ODC1","P11926"
"76",0.117696330998757,"BCAR3","O75815"
"77",0.117489531137751,"PREX2","Q70Z35"
"78",0.116205389411502,"JAG1","P78504"
"79",0.115387408792372,"BAK1","Q16611"
"80",0.114985367527975,"S100B","P04271"
"81",0.114572417973216,"FHL2","Q14192"
"82",0.113206303958601,"PMAIP1","Q13794"
"83",0.113185907997949,"CD82","P27701"
"84",0.111833769038411,"NCF2","P19878"
"85",0.111620573321071,"CCNG1","P51959"
"86",0.110881594870048,"F2RL2","O00254"
"87",0.110804748693438,"DDB2","Q92466"
"88",0.109717864274333,"RRM2","P31350"
"89",0.108084431947344,"GDF15","Q99988"
"90",0.107593497659676,"SMARCC2","Q8TAQ2"
"91",0.107317318809743,"COX5B","P10606"
"92",0.106749611754589,"GTF2E1","P29083"
"93",0.106749611754589,"GTF3A","Q92664"
"94",0.105943801083578,"DAPP1","Q9UN19"
"95",0.105498010390766,"DEK","P35659"
"96",0.10484744634181,"PRDM1","O75626"
"97",0.103438714608818,"GTF2F1","P35269"
"98",0.103438714608818,"GTF2A1","P52655"
"99",0.103438714608818,"GTF2B","Q00403"
"100",0.102614113619324,"CDKN2B","P42772"
"101",0.102203715717192,"FZD6","O60353"
"102",0.101244353653617,"PIDD1","Q9HB75"
"103",0.097583531993418,"VDAC1","P21796"
"104",0.0975745169174453,"RACGAP1","Q9H0H5"
"105",0.0968827174504039,"FZD3","Q9NPG1"
"106",0.0961696044159783,"HIC1","Q14526"
"107",0.0955884250278942,"F11","P03951"
"108",0.0934826858206995,"BHLHE40","O14503"
"109",0.093250656713838,"BBC3","Q96PG8"
"110",0.0926074125174842,"ACTR2","P61160"
"111",0.0913683521086136,"NCKAP1L","P55160"
"112",0.0901944788556018,"NDRG2","Q9UN36"
"113",0.0899435951577941,"SMARCC1","Q92922"
"114",0.0891649797472536,"F10","P00742"
"115",0.0888520751347834,"TNFRSF25","Q93038"
"116",0.0888479579427807,"HACE1","Q8IYU2"
"117",0.0880956362818956,"DNM2","P50570"
"118",0.0880288386819619,"TP63","Q9H3D4"
"119",0.0871311934496974,"DYNLL1","P63167"
"120",0.085612611292607,"SKAP2","O75563"
"121",0.0852677453798168,"BCL2L2","Q92843"
"122",0.0840567686947355,"CASP1","P29466"
"123",0.0828693414614764,"SH3GLB1","Q9Y371"
"124",0.0828419685858784,"MAP3K12","Q12852"
"125",0.0824556067403835,"MSX1","P28360"
"126",0.0824556067403835,"IFRD1","O00458"
"127",0.0809886146505064,"MEN1","O00255"
"128",0.0803047963671939,"TIMP3","P35625"
"129",0.0780803161503045,"TCF7L1","Q9HCS4"
"130",0.0779880581928238,"MTDH","Q86UE4"
"131",0.0764265374096876,"FZD2","Q14332"
"132",0.0759341672506474,"BAX","Q07812"
"133",0.0759053025455431,"DLL3","Q9NYJ7"
"134",0.075243017396556,"MYLK3","Q32MK0"
"135",0.0750442091211137,"HK2","P52789"
"136",0.0729534091517606,"EIF2B4","Q9UI10"
"137",0.0715784573437669,"SP3","Q02447"
"138",0.0712136268401843,"APOA1","P02647"
"139",0.0710879461634919,"RAC3","P60763"
"140",0.0708068845044569,"E2F3","O00716"
"141",0.0702775406600603,"PLK3","Q9H4B4"
"142",0.0697968222725136,"F2","P00734"
"143",0.0695264424445997,"GSTP1","P09211"
"144",0.0686854219458607,"ARHGDIA","P52565"
"145",0.0686253645245897,"RAD51","Q06609"
"146",0.0683714159734495,"RHOU","Q7L0Q8"
"147",0.0679972849337277,"NFKB2","Q00653"
"148",0.0675859950047739,"RAC2","P15153"
"149",0.0672755964081053,"NOTCH4","Q99466"
"150",0.067068750138604,"COL1A2","P08123"
"151",0.0670065054184047,"EIF2B2","P49770"
"152",0.0669105458104256,"SNAI2","O43623"
"153",0.0654197388151921,"XPC","Q01831"
"154",0.0654197388151921,"GTF2H4","Q92759"
"155",0.0651668046704738,"ARHGEF2","Q92974"
"156",0.0646319891202448,"LTBP1","Q14766"
"157",0.0644089505753381,"E2F5","Q15329"
"158",0.0642730751606022,"TFDP2","Q14188"
"159",0.0640664325057241,"FZD4","Q9ULV1"
"160",0.0631061948610019,"TRIO","O75962"
"161",0.0626096935745697,"SIAH1","Q8IUQ4"
"162",0.062517860135836,"HTT","P42858"
"163",0.0622477215510883,"CABLES1","Q8TDN4"
"164",0.0622141592273396,"BECN1","Q14457"
"165",0.0620313242406096,"GADD45A","P24522"
