"","score","gene_symbol","uniprot"
"1",0.252320002373901,"FOXH1","O75593"
"2",0.252320002373901,"MN1","Q10571"
"3",0.252320002373901,"DDX17","Q92841"
"4",0.248850776159432,"CCL22","O00626"
"5",0.248850776159432,"RNASE1","P07998"
"6",0.248850776159432,"CR2","P20023"
"7",0.248850776159432,"TEP1","Q99973"
"8",0.246721656395064,"TNFRSF10D","Q9UBN6"
"9",0.246721656395064,"PLK4","O00444"
"10",0.246721656395064,"S100A4","P26447"
"11",0.246721656395064,"EI24","O14681"
"12",0.246721656395064,"STEAP3","Q658P3"
"13",0.246721656395064,"SERPINB5","P36952"
"14",0.246721656395064,"PRDX3","P30048"
"15",0.246721656395064,"NFYB","P25208"
"16",0.246721656395064,"MLH1","P40692"
"17",0.246721656395064,"PMS2","P54278"
"18",0.246721656395064,"SIVA1","O15304"
"19",0.246721656395064,"VRK2","Q86Y07"
"20",0.246721656395064,"PLK2","Q9NYY3"
"21",0.246721656395064,"TNFRSF10C","O14798"
"22",0.242066842643726,"DLL3","Q9NYJ7"
"23",0.208978709529695,"PYCARD","Q9ULZ3"
"24",0.177145001627639,"CTBP2","P56545"
"25",0.170553690284093,"TDG","Q13569"
"26",0.169836658261406,"BIK","Q13323"
"27",0.169188796723927,"CTSD","P07339"
"28",0.168872716948579,"KLF4","O43474"
"29",0.168666327106957,"S100A6","P06703"
"30",0.166698764010582,"BNIP3L","O60238"
"31",0.166673284227556,"POLR2A","P24928"
"32",0.156942063503641,"MAML1","Q92585"
"33",0.15668758997201,"RECQL4","O94761"
"34",0.154420367617269,"COP1","Q8NHY2"
"35",0.154197831483747,"GADD45G","O95257"
"36",0.14238867540729,"ARHGAP24","Q8N264"
"37",0.137447924160079,"PPM1D","O15297"
"38",0.137036725007146,"HUWE1","Q7Z6Z7"
"39",0.135325410982227,"PIDD1","Q9HB75"
"40",0.134557454814796,"RUNX3","Q13761"
"41",0.134358923855555,"S100B","P04271"
"42",0.13349891337167,"DLAT","P10515"
"43",0.133154595651009,"NFYA","P23511"
"44",0.133047623341283,"CDX1","P47902"
"45",0.132255073766891,"KPNA2","P52292"
"46",0.130701843955876,"GADD45B","O75293"
"47",0.130543824493383,"MIR17HG","Q75NE6"
"48",0.128429545800247,"H2AFZ","P0C0S5"
"49",0.126917031796643,"TIMP3","P35625"
"50",0.126901036671347,"VCAN","P13611"
"51",0.126624340991567,"IL16","Q14005"
"52",0.12627834998565,"GTF2E1","P29083"
"53",0.12627834998565,"GTF3A","Q92664"
"54",0.126040523452612,"ARID3A","Q99856"
"55",0.12581471107912,"NKX2-5","P52952"
"56",0.125705737579254,"RGCC","Q9H4X1"
"57",0.12561024135854,"ULK2","Q8IYT8"
"58",0.119295322441152,"FEN1","P39748"
"59",0.118573298097955,"SHH","Q15465"
"60",0.111614690707756,"B2M","P61769"
"61",0.111081791221007,"BHLHE40","O14503"
"62",0.110453152908575,"KLF5","Q13887"
"63",0.10937717474645,"CASP1","P29466"
"64",0.109224740294167,"CD82","P27701"
"65",0.108507911406411,"CCNG1","P51959"
"66",0.108156266415734,"GDF15","Q99988"
"67",0.107039449057468,"RRM2","P31350"
