"","score","gene_symbol","uniprot"
"1",0.244910407695283,"TNFRSF10C","O14798"
"2",0.244910407695283,"TNFRSF10A","O00220"
"3",0.244910407695283,"PLK2","Q9NYY3"
"4",0.244910407695283,"MLH1","P40692"
"5",0.244910407695283,"PMS2","P54278"
"6",0.244910407695283,"NFYA","P23511"
"7",0.244910407695283,"EI24","O14681"
"8",0.244910407695283,"BHLHE40","O14503"
"9",0.244910407695283,"SERPINB5","P36952"
"10",0.244910407695283,"PRDX3","P30048"
"11",0.244910407695283,"NFYB","P25208"
"12",0.244910407695283,"TNFRSF10D","Q9UBN6"
"13",0.244910407695283,"S100A4","P26447"
"14",0.244910407695283,"RGCC","Q9H4X1"
"15",0.244910407695283,"SNAI2","O43623"
"16",0.244910407695283,"STEAP3","Q658P3"
"17",0.244910407695283,"SIVA1","O15304"
"18",0.244910407695283,"VRK2","Q86Y07"
"19",0.244910407695283,"PLK4","O00444"
"20",0.244910407695283,"VCAN","P13611"
"21",0.211743505674129,"PYCARD","Q9ULZ3"
"22",0.188710668545603,"COP1","Q8NHY2"
"23",0.168026082073788,"BIK","Q13323"
"24",0.166045129692835,"CTSD","P07339"
"25",0.165084988825435,"KLF4","O43474"
"26",0.164952579567202,"S100A6","P06703"
"27",0.164679722846693,"BNIP3L","O60238"
"28",0.153794599916903,"GADD45G","O95257"
"29",0.141391093287896,"S100B","P04271"
"30",0.14043511427461,"ARHGAP24","Q8N264"
"31",0.137404266609887,"PPM1D","O15297"
"32",0.132510929395922,"PIDD1","Q9HB75"
"33",0.131015647972308,"GADD45B","O75293"
"34",0.126166888811248,"ERCC2","P18074"
"35",0.124702224517068,"FHL2","Q14192"
"36",0.124517247947582,"TIMP3","P35625"
"37",0.124443169767764,"MIR17HG","Q75NE6"
"38",0.124400726323102,"ARID3A","Q99856"
"39",0.123793027350158,"ULK2","Q8IYT8"
"40",0.122815107551783,"CASP1","P29466"
"41",0.108361593015502,"CD82","P27701"
"42",0.107439249011318,"CASP10","Q92851"
"43",0.107276714239175,"CCNG1","P51959"
"44",0.107173381749529,"RRM2","P31350"
"45",0.104504907741446,"TAF1","P21675"
"46",0.102382845046032,"DDB2","Q92466"
"47",0.100986317064738,"GDF15","Q99988"
"48",0.100748144892804,"DEK","P35659"
"49",0.10069538348239,"TNFRSF10B","O14763"
"50",0.0964243724266309,"TP63","Q9H3D4"
"51",0.0955697236639905,"BBC3","Q96PG8"
"52",0.0950444366294691,"SIAH1","Q8IUQ4"
"53",0.0902712546944,"APAF1","O14727"
"54",0.089296053629964,"HIC1","Q14526"
"55",0.0865095743453108,"NFE2L2","Q16236"
"56",0.0851601047406219,"BIRC3","Q13489"
"57",0.0851548633581316,"HSF1","Q00613"
"58",0.084447564023471,"CASP6","P55212"
"59",0.0810064251699407,"THBS1","P07996"
"60",0.0804029806246829,"VRK1","Q99986"
"61",0.0761535476753395,"PLK3","Q9H4B4"
"62",0.0756325598836128,"NFKB2","Q00653"
"63",0.0739563894945518,"ODC1","P11926"
"64",0.0724942181636314,"KAT2B","Q92831"
"65",0.0718943793281918,"DDR1","Q08345"
"66",0.0715876110767281,"AREG","P15514"
"67",0.0711853111936254,"FANCC","Q00597"
"68",0.0693725429146549,"CDC6","Q99741"
"69",0.0671397177094928,"PMAIP1","Q13794"
"70",0.0638125939259301,"LGALS3","P17931"
"71",0.0633847253961738,"PRDM1","O75626"
"72",0.0631850597910071,"GSTP1","P09211"
"73",0.0631418728093527,"NOS3","P29474"
"74",0.0628175766958955,"HIPK2","Q9H2X6"
"75",0.0626047518674879,"MSX1","P28360"
"76",0.0626047518674879,"IFRD1","O00458"
"77",0.0617869620773619,"APC","P25054"
"78",0.0607678340889815,"XPC","Q01831"
"79",0.0607612965305741,"BIRC5","O15392"
"80",0.0585462349569113,"BID","P55957"
"81",0.0584252705119688,"FADD","Q13158"
"82",0.0584172137399887,"TP73","O15350"
"83",0.0571198753805841,"CFLAR","O15519"
"84",0.0563965048705108,"SOD2","P04179"
"85",0.0524044113544284,"ATF3","P18847"
"86",0.0515069935374318,"LIF","P15018"
"87",0.0510929072601349,"RALGDS","Q12967"
"88",0.0503291651520804,"XIAP","P98170"
"89",0.0499256293681814,"HTT","P42858"
"90",0.0496971036533288,"BAK1","Q16611"
"91",0.0494695766815053,"PCNA","P12004"
"92",0.048035526009486,"IGFBP3","P17936"
"93",0.0480234942553604,"PRL","P01236"
"94",0.0466206738715713,"PRKAB1","Q9Y478"
"95",0.044532693492882,"CASP8","Q14790"
"96",0.0441753968871113,"RCHY1","Q96PM5"
"97",0.0432535523367048,"RAD51","Q06609"
"98",0.0431936249744834,"HIF1A","Q16665"
"99",0.0431546213089763,"MCL1","Q07820"
"100",0.0431064937907083,"FBXW7","Q969H0"
"101",0.041555495533469,"DUSP5","Q16690"
"102",0.0408687827285015,"HSP90AB1","P08238"
"103",0.0401426506138857,"FASLG","P48023"
"104",0.0396315944101717,"LATS2","Q9NRM7"
"105",0.0391394648166302,"NLRC4","Q9NPP4"
"106",0.0388241100826577,"MRAS","O14807"
"107",0.0385331872533527,"KSR1","Q8IVT5"
"108",0.0375923532401575,"NLK","Q9UBE8"
"109",0.0370217060084989,"DAPK1","P53355"
"110",0.0369997356484942,"BCL6","P41182"
"111",0.0356382233509302,"BTG2","P78543"
"112",0.0355125165259958,"GADD45A","P24522"
"113",0.0354871954643515,"CDC20","Q12834"
"114",0.034705870364653,"ATM","Q13315"
"115",0.0344367595160724,"TP53AIP1","Q9HCN2"
"116",0.0344059004233933,"PTGS2","P35354"
"117",0.0341021361572365,"BCL2L1","Q07817"
"118",0.0338709633132722,"TPR","P12270"
"119",0.0337604254760328,"PKM","P14618"
"120",0.033605940130414,"CSNK2B","P67870"
"121",0.0325434104266941,"MYB","P10242"
"122",0.0319770934113773,"MMP2","P08253"
"123",0.0315969272704263,"TGFA","P01135"
"124",0.0314803042298894,"CDKN2A","Q8N726"
"125",0.0310042491329421,"ARAF","P10398"
"126",0.0294963707033887,"CDK1","P06493"
"127",0.0293491679962771,"TP53INP1","Q96A56"
"128",0.028872160228909,"BAX","Q07812"
"129",0.0288017479387774,"EP300","Q09472"
"130",0.0286889252185195,"CHEK2","O96017"
"131",0.0285338931865942,"CDK2","P24941"
"132",0.028338537552149,"FOXO3","O43524"
"133",0.0281741464219948,"HMGB1","P09429"
"134",0.0279787235143111,"AURKA","O14965"
"135",0.0278162927704705,"SFN","P31947"
"136",0.0276079748693385,"HGF","P14210"
"137",0.0274175188258262,"YWHAE","P62258"
"138",0.0270141975534702,"EIF2AK2","P19525"
"139",0.026921618514315,"RAP1GAP","P47736"
"140",0.0265280055906769,"TERT","O14746"
"141",0.0259608651818107,"CCNB1","P14635"
"142",0.0258023436623405,"CHEK1","O14757"
"143",0.0255936673907414,"YWHAZ","P63104"
"144",0.0253257670774336,"E2F1","Q01094"
"145",0.0252625713272859,"YWHAG","P61981"
"146",0.0252053008111657,"YWHAQ","P27348"
"147",0.0242541487477496,"MDM2","Q00987"
"148",0.0237981494832067,"FAS","P25445"
"149",0.0235814395726518,"PTEN","P60484"
"150",0.0235001194645299,"YWHAB","P31946"
"151",0.0234783509550625,"AFDN","P55196"
"152",0.0231962732722148,"RAPGEF5","Q92565"
"153",0.0229372749622821,"AR","P10275"
"154",0.0226486517314584,"DUSP1","P28562"
"155",0.0223487485395681,"YWHAH","Q04917"
"156",0.0222252029716624,"RPS6KA2","Q15349"
"157",0.0221362456483457,"RPS6KA4","O75676"
"158",0.0218597000376678,"MAP4K4","O95819"
"159",0.0218272171633599,"RPS6KA3","P51812"
"160",0.0216521528236361,"RPA2","P15927"
"161",0.0212934414842869,"RPS6KA5","O75582"
"162",0.0211709257571699,"ARHGEF2","Q92974"
"163",0.0208948690573008,"KDM1A","O60341"
"164",0.020725329441412,"ZNF420","Q8TAQ5"
"165",0.020725329441412,"WRAP53","Q9BUR4"
"166",0.020725329441412,"TIPARP","Q7Z3E1"
"167",0.020725329441412,"KAT8","Q9H7Z6"
"168",0.020725329441412,"DYRK2","Q92630"
"169",0.020725329441412,"ING2","Q9H160"
"170",0.0206880764712708,"CDS1","Q92903"
"171",0.0203308983611931,"BDKRB2","P30411"
"172",0.0200956394597146,"EZH2","Q15910"
"173",0.0199257026564099,"RB1","P06400"
"174",0.0198457676799512,"VDR","P11473"
"175",0.0196443674672447,"RAP1A","P62834"
"176",0.0194644257205679,"CDC25C","P30307"
"177",0.0192158291135639,"RELA","Q04206"
"178",0.0192030657216431,"PIM1","P11309"
"179",0.019194186279757,"RBL2","Q08999"
"180",0.018416120645257,"BCL2","P10415"
"181",0.0183911566151747,"NFKB1","P19838"
"182",0.0180872083729067,"NR3C1","P04150"
"183",0.0177723721696694,"RPS6KA1","Q15418"
"184",0.0176231126461512,"RAF1","P04049"
"185",0.0175913308680724,"RASSF1","Q9NS23"
"186",0.0172455837189398,"ESR1","P03372"
"187",0.0171967317964814,"RRM2B","Q7LG56"
"188",0.0170221431345767,"ING5","Q8WYH8"
"189",0.0170221431345767,"MTA2","O94776"
"190",0.0170221431345767,"CDK20","Q8IZL9"
"191",0.0170105720110172,"RECQL4","O94761"
"192",0.0169162315913413,"CDK7","P50613"
"193",0.0169111151748915,"GMPS","P49915"
"194",0.0167939301773848,"ICAM1","P05362"
"195",0.0167827410240571,"DDB1","Q16531"
"196",0.0167754839239407,"H2AFX","P16104"
"197",0.0167477205936589,"MAPK3","P27361"
"198",0.0166730584638584,"PML","P29590"
"199",0.0162770028676874,"MDM4","O15151"
"200",0.0160596259895331,"HUWE1","Q7Z6Z7"
"201",0.0160339594921355,"TADA3","O75528"
"202",0.0159759303979683,"ING1","Q9UK53"
"203",0.0158866877012482,"SPP1","P10451"
"204",0.0157947486170784,"IGF1R","P08069"
"205",0.0156462922537089,"DLAT","P10515"
"206",0.0156255609639738,"CDKN1B","P46527"
"207",0.0151620781525179,"CDC14A","Q9UNH5"
"208",0.0151521632318124,"SMARCA4","P51532"
"209",0.0150270584544652,"EGFR","P00533"
"210",0.0148309725466034,"SSBP1","Q04837"
"211",0.0146994746647431,"ATR","Q13535"
"212",0.0145915199791288,"DUSP4","Q13115"
"213",0.0145858641438274,"CDKN1A","P38936"
"214",0.0144975906416152,"TTK","P33981"
